draw,method,mathqa,mmlu_math,math_retention,rank
c4_primary,modegpt,0.3135678392,0.4135338346,0.8663623474,1
c4_primary,svdllm_v1,0.2512562814,0.2998120301,0.6582647289,2
c4_primary,basis_sharing,0.2515912898,0.2622180451,0.6158604737,3
c4_primary,asvd,0.1983249581,0.2302631579,0.5123126338,4
wikitext_primary,modegpt,0.3450586265,0.3890977444,0.8782210342,1
wikitext_primary,svdllm_v1,0.2455611390,0.3063909774,0.6585803215,2
wikitext_primary,basis_sharing,0.2445561139,0.2828947368,0.6305468343,3
wikitext_primary,asvd,0.2033500838,0.2556390977,0.5475550162,4
wikitext_s0,modegpt,0.3517587940,0.3881578947,0.8855963163,1
wikitext_s0,svdllm_v1,0.2542713568,0.2998120301,0.6620654045,2
wikitext_s0,basis_sharing,0.2492462312,0.2800751880,0.6332470050,3
wikitext_s0,asvd,0.2157453936,0.2293233083,0.5332014295,4
wikitext_s1,modegpt,0.3514237856,0.4013157895,0.9001633124,1
wikitext_s1,svdllm_v1,0.2505862647,0.2969924812,0.6542081428,2
wikitext_s1,basis_sharing,0.2572864322,0.2857142857,0.6498061230,3
wikitext_s1,asvd,0.1986599665,0.2941729323,0.5855400703,4
