model,method,keep_ratio,wikitext2_ppl,baseline_ms,flashsvd_ms,speedup
Llama-3.1-8B,baseline,1.0,6.948594097421254,N/A,N/A,N/A
Llama-3.1-8B,V1,0.8,919.6413243059266,30.269,33.036,0.916
Llama-3.1-8B,V2,0.8,28.779698124252576,30.546,32.492,0.940
Llama-3.1-8B,V1,0.7,5027.010484302759,31.566,32.403,0.974
Llama-3.1-8B,V2,0.7,61.77118108431625,30.977,32.283,0.960
Llama-3.1-8B,V1,0.6,9565.639735788855,30.531,32.232,0.947
Llama-3.1-8B,V2,0.6,131.36952218011703,30.603,32.384,0.945
Llama-3.1-8B,V1,0.5,11248.284264718599,30.940,32.366,0.956
Llama-3.1-8B,V2,0.5,273.0836534857583,30.663,32.163,0.953
Llama-3.1-8B,V1,0.4,14313.239368958473,39.529,32.052,1.233
Llama-3.1-8B,V2,0.4,533.8315635893977,30.387,31.921,0.952
