model,method,keep_ratio,wikitext2_ppl,baseline_ms,flashsvd_ms,speedup
Llama-3.1-8B-Instruct,V1,0.8,599.6888917513519,31.216,33.279,0.938
Llama-3.1-8B-Instruct,V2,0.8,26.63750877727918,31.228,33.211,0.940
Llama-3.1-8B-Instruct,V1,0.7,6343.45342049913,30.606,32.536,0.941
Llama-3.1-8B-Instruct,V2,0.7,55.64745812829588,30.892,32.794,0.942
Llama-3.1-8B-Instruct,V1,0.6,7362.358324994289,31.039,32.911,0.943
Llama-3.1-8B-Instruct,V2,0.6,121.5724275755874,31.216,32.980,0.947
Llama-3.1-8B-Instruct,V1,0.5,13865.482453409924,31.267,33.324,0.938
Llama-3.1-8B-Instruct,V2,0.5,265.3118274661193,31.682,32.540,0.974
Llama-3.1-8B-Instruct,V1,0.4,22736.291006997373,31.234,32.916,0.949
Llama-3.1-8B-Instruct,V2,0.4,636.7360559185068,31.363,33.313,0.941
