model_family,model_tag,is_instruct,method,keep_ratio,dtype,compression_success,eval_success,task_set,metric_protocol,wikitext2_ppl,c4_ppl,ptb_ppl,boolq_acc,boolq_acc_norm,boolq_std,arc_challenge_acc,arc_challenge_acc_norm,arc_challenge_std,arc_easy_acc,arc_easy_acc_norm,arc_easy_std,hellaswag_acc,hellaswag_acc_norm,hellaswag_std,winogrande_acc,winogrande_acc_norm,winogrande_std,openbookqa_acc,openbookqa_acc_norm,openbookqa_std,piqa_acc,piqa_acc_norm,piqa_std,mathqa_acc,mathqa_acc_norm,mathqa_std,avg_score,checkpoint_path,checkpoint_size_gb,seq_len,eval_batch_size,device,lm_eval_version,transformers_version,timestamp,notes
llama,Llama-3.1-8B,0,baseline,1.0,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,6.957900,9.913824,14.504849,0.820795,N/A,N/A,0.515358,0.536689,N/A,0.817340,0.810606,N/A,0.599980,0.789982,N/A,0.735596,N/A,N/A,0.332000,0.448000,N/A,0.803047,0.812296,N/A,0.252596,N/A,N/A,0.650820,meta-llama/Llama-3.1-8B,N/A,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T09:37:23,
llama,Llama-3.1-8B,0,ASVD_asvd_raw,0.4,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,35801.812507,48306.289964,32043.752548,0.386850,N/A,N/A,0.211604,0.260239,N/A,0.259259,0.263468,N/A,0.257419,0.260705,N/A,0.499605,N/A,N/A,0.144000,0.284000,N/A,0.522851,0.503264,N/A,0.171524,N/A,N/A,0.328707,../hf_ckpts/LowRankArena/llama31_8b/ASVD/hf_asvd_raw_0.4,6.584992,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T10:02:11,
llama,Llama-3.1-8B,0,ASVD_asvd_raw,0.5,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,33307.418813,30645.514359,32975.407734,0.457492,N/A,N/A,0.207338,0.244881,N/A,0.256313,0.259259,N/A,0.260705,0.259112,N/A,0.517758,N/A,N/A,0.150000,0.300000,N/A,0.524483,0.501632,N/A,0.206365,N/A,N/A,0.343312,../hf_ckpts/LowRankArena/llama31_8b/ASVD/hf_asvd_raw_0.5,7.975037,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T13:33:00,
llama,Llama-3.1-8B,0,ASVD_asvd_raw,0.6,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,26866.670362,14585.449880,21734.304110,0.391131,N/A,N/A,0.201365,0.255973,N/A,0.246212,0.255471,N/A,0.257817,0.259112,N/A,0.495659,N/A,N/A,0.148000,0.304000,N/A,0.514690,0.504353,N/A,0.205695,N/A,N/A,0.333924,../hf_ckpts/LowRankArena/llama31_8b/ASVD/hf_asvd_raw_0.6,9.389052,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T13:57:48,
llama,Llama-3.1-8B,0,ASVD_asvd_raw,0.7,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,20250.470637,14127.510503,19840.027482,0.378287,N/A,N/A,0.191126,0.250000,N/A,0.254630,0.260522,N/A,0.256821,0.259311,N/A,0.509077,N/A,N/A,0.122000,0.282000,N/A,0.516866,0.497280,N/A,0.204355,N/A,N/A,0.330104,../hf_ckpts/LowRankArena/llama31_8b/ASVD/hf_asvd_raw_0.7,10.770081,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T14:24:34,
llama,Llama-3.1-8B,0,ASVD_asvd_raw,0.8,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,1632.680614,1280.062881,3540.272443,0.382875,N/A,N/A,0.193686,0.243174,N/A,0.299242,0.298401,N/A,0.265784,0.286895,N/A,0.513812,N/A,N/A,0.146000,0.258000,N/A,0.538629,0.530468,N/A,0.198325,N/A,N/A,0.338994,../hf_ckpts/LowRankArena/llama31_8b/ASVD/hf_asvd_raw_0.8,12.166633,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T14:49:13,

llama,Llama-3.1-8B,0,Basis_sharing_basis_sharing,0.4,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,121028.110489,74749.781339,106506.876122,0.379511,N/A,N/A,0.203072,0.247440,N/A,0.255471,0.250842,N/A,0.257120,0.258514,N/A,0.513023,N/A,N/A,0.124000,0.282000,N/A,0.520131,0.509249,N/A,0.205025,N/A,N/A,0.330701,../hf_ckpts/LowRankArena/LLama31_8b/Basis_sharing/hf_basis_sharing_0.4,7.651626,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T21:32:23,
llama,Llama-3.1-8B,0,Basis_sharing_basis_sharing,0.5,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,24906.910374,26671.412443,32804.023835,0.378287,N/A,N/A,0.201365,0.254266,N/A,0.252946,0.256313,N/A,0.258813,0.260705,N/A,0.509077,N/A,N/A,0.128000,0.266000,N/A,0.525571,0.504897,N/A,0.212060,N/A,N/A,0.330201,../hf_ckpts/LowRankArena/LLama31_8b/Basis_sharing/hf_basis_sharing_0.5,9.070087,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T22:06:21,
llama,Llama-3.1-8B,0,Basis_sharing_basis_sharing,0.6,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,9800.874076,8507.628796,18931.052962,0.378287,N/A,N/A,0.203925,0.267918,N/A,0.263047,0.263047,N/A,0.258116,0.263792,N/A,0.519337,N/A,N/A,0.138000,0.274000,N/A,0.520675,0.500544,N/A,0.204355,N/A,N/A,0.333910,../hf_ckpts/LowRankArena/LLama31_8b/Basis_sharing/hf_basis_sharing_0.6,10.490256,2048,2,cuda:0,0.4.11,4.57.6,2026-04-10T22:43:19,
