model_family,model_tag,is_instruct,method,keep_ratio,dtype,compression_success,eval_success,task_set,metric_protocol,wikitext2_ppl,c4_ppl,ptb_ppl,boolq_acc,boolq_acc_norm,boolq_std,arc_challenge_acc,arc_challenge_acc_norm,arc_challenge_std,arc_easy_acc,arc_easy_acc_norm,arc_easy_std,hellaswag_acc,hellaswag_acc_norm,hellaswag_std,winogrande_acc,winogrande_acc_norm,winogrande_std,openbookqa_acc,openbookqa_acc_norm,openbookqa_std,piqa_acc,piqa_acc_norm,piqa_std,mathqa_acc,mathqa_acc_norm,mathqa_std,avg_score,checkpoint_path,checkpoint_size_gb,seq_len,eval_batch_size,device,lm_eval_version,transformers_version,timestamp,notes
llama,Llama-3.1-8B-Instruct,1,baseline,1.0,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,7.070638,11.663347,12.959094,0.853211,N/A,N/A,0.537543,0.552901,N/A,0.820286,0.796717,N/A,0.597291,0.794762,N/A,0.740331,N/A,N/A,0.360000,0.450000,N/A,0.801959,0.813384,N/A,0.290787,N/A,N/A,0.661512,meta-llama/Llama-3.1-8B-Instruct,N/A,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T01:00:03,
llama,Llama-3.1-8B-Instruct,1,ASVD_asvd_raw,0.4,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,25215.912766,14263.078156,41689.594292,0.379205,N/A,N/A,0.214164,0.257679,N/A,0.258838,0.262205,N/A,0.255427,0.259112,N/A,0.490923,N/A,N/A,0.136000,0.290000,N/A,0.539173,0.525571,N/A,0.197990,N/A,N/A,0.332836,../hf_ckpts/LowRankArena/llama31_8b_instruct/ASVD/hf_asvd_raw_0.4,6.584997,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T01:31:04,
llama,Llama-3.1-8B-Instruct,1,ASVD_asvd_raw,0.5,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,25936.676015,16682.696183,39469.860067,0.379511,N/A,N/A,0.219283,0.259386,N/A,0.255051,0.263047,N/A,0.257917,0.259908,N/A,0.501184,N/A,N/A,0.116000,0.284000,N/A,0.522307,0.502720,N/A,0.204355,N/A,N/A,0.331764,../hf_ckpts/LowRankArena/llama31_8b_instruct/ASVD/hf_asvd_raw_0.5,7.975857,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T01:59:08,
llama,Llama-3.1-8B-Instruct,1,ASVD_asvd_raw,0.6,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,23335.425704,14617.436773,21961.998136,0.377982,N/A,N/A,0.212457,0.258532,N/A,0.255471,0.269360,N/A,0.256025,0.256423,N/A,0.518548,N/A,N/A,0.128000,0.278000,N/A,0.516866,0.485854,N/A,0.201675,N/A,N/A,0.330797,../hf_ckpts/LowRankArena/llama31_8b_instruct/ASVD/hf_asvd_raw_0.6,9.371116,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T02:33:08,
llama,Llama-3.1-8B-Instruct,1,ASVD_asvd_raw,0.7,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,11606.534104,6894.130204,17236.130463,0.378287,N/A,N/A,0.213311,0.253413,N/A,0.250421,0.273990,N/A,0.260207,0.260406,N/A,0.496448,N/A,N/A,0.128000,0.278000,N/A,0.536453,0.516322,N/A,0.205695,N/A,N/A,0.332820,../hf_ckpts/LowRankArena/llama31_8b_instruct/ASVD/hf_asvd_raw_0.7,10.768322,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T03:09:02,DEGENERATE_ZEROSHOT
llama,Llama-3.1-8B-Instruct,1,ASVD_asvd_raw,0.8,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,1551.375462,1690.223065,4709.111457,0.403058,N/A,N/A,0.201365,0.237201,N/A,0.316498,0.310606,N/A,0.270364,0.292571,N/A,0.516969,N/A,N/A,0.150000,0.244000,N/A,0.547334,0.560936,N/A,0.202345,N/A,N/A,0.345961,../hf_ckpts/LowRankArena/llama31_8b_instruct/ASVD/hf_asvd_raw_0.8,12.174542,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T03:46:27,
llama,Llama-3.1-8B-Instruct,1,Basis_sharing_basis_sharing,0.4,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,69428.242566,73457.864173,86243.009250,0.378287,N/A,N/A,0.226962,0.226962,N/A,0.250842,0.250842,N/A,0.250448,0.250448,N/A,0.495659,N/A,N/A,0.276000,0.276000,N/A,0.495103,0.495103,N/A,0.205695,N/A,N/A,0.322375,../hf_ckpts/LowRankArena/llama31_8b_instruct/Basis_sharing/hf_basis_sharing_0.4,9.651652,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T04:24:47,DEGENERATE_ZEROSHOT
llama,Llama-3.1-8B-Instruct,1,Basis_sharing_basis_sharing,0.5,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,91143.360883,65547.074420,90148.784003,0.378287,N/A,N/A,0.226962,0.226962,N/A,0.250842,0.250842,N/A,0.250448,0.250448,N/A,0.495659,N/A,N/A,0.276000,0.276000,N/A,0.495103,0.495103,N/A,0.205695,N/A,N/A,0.322375,../hf_ckpts/LowRankArena/llama31_8b_instruct/Basis_sharing/hf_basis_sharing_0.5,11.070111,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T14:57:48,DEGENERATE_ZEROSHOT
llama,Llama-3.1-8B-Instruct,1,Basis_sharing_basis_sharing,0.6,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,23417.777808,18780.591399,39779.577837,0.378287,N/A,N/A,0.226962,0.226962,N/A,0.250842,0.250842,N/A,0.250448,0.250448,N/A,0.495659,N/A,N/A,0.276000,0.276000,N/A,0.495103,0.495103,N/A,0.205695,N/A,N/A,0.322375,../hf_ckpts/LowRankArena/llama31_8b_instruct/Basis_sharing/hf_basis_sharing_0.6,12.490279,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T16:34:06,DEGENERATE_ZEROSHOT
llama,Llama-3.1-8B-Instruct,1,Basis_sharing_basis_sharing,0.7,bf16,yes,yes,main8,boolq=acc;arc_challenge=acc_norm;arc_easy=acc_norm;hellaswag=acc_norm;winogrande=acc;openbookqa=acc_norm;piqa=acc_norm;mathqa=acc,12900.339532,15268.850774,34022.678934,0.378287,N/A,N/A,0.226962,0.226962,N/A,0.250842,0.250842,N/A,0.250448,0.250448,N/A,0.495659,N/A,N/A,0.276000,0.276000,N/A,0.495103,0.495103,N/A,0.205695,N/A,N/A,0.322375,../hf_ckpts/LowRankArena/llama31_8b_instruct/Basis_sharing/hf_basis_sharing_0.7,13.912034,2048,2,cuda:0,0.4.11,4.57.6,2026-04-08T18:24:50,DEGENERATE_ZEROSHOT
