bs,seq_len,dtype,backend,attn_mode,latency_ms,throughput_sps,peak_mem_infer_mb
8,512,fp32,naive,einsum,31.18,256.6,1086.8
8,512,fp32,naive,sdpa,23.50,340.4,894.4
8,512,fp32,flashsvd,triton,23.84,335.6,762.4
8,512,bf16,naive,einsum,10.47,764.0,741.1
8,512,bf16,flashsvd,triton,11.80,678.2,579.1
16,512,fp32,naive,einsum,65.40,244.6,1510.5
16,512,fp32,naive,sdpa,46.30,345.6,1126.5
16,512,fp32,flashsvd,triton,47.12,339.5,862.5
16,512,bf16,naive,einsum,23.65,676.5,953.0
16,512,bf16,flashsvd,triton,21.99,727.5,629.0
32,512,fp32,naive,einsum,134.64,237.7,2358.6
32,512,fp32,naive,sdpa,96.07,333.1,1590.6
32,512,fp32,flashsvd,triton,95.90,333.7,1062.7
32,512,bf16,naive,einsum,50.79,630.0,1376.3
32,512,bf16,flashsvd,triton,45.39,705.1,728.4
64,512,fp32,naive,einsum,278.41,229.9,4054.8
64,512,fp32,naive,sdpa,197.84,323.5,2518.8
64,512,fp32,flashsvd,triton,195.13,328.0,1463.1
64,512,bf16,naive,einsum,108.25,591.2,2225.3
64,512,bf16,flashsvd,triton,92.94,688.6,929.6
