
════ mnli_svd_naive ════

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     19.7      497,814,328      4,800  103,711.3   81,616.5    29,376   326,850     90,384.2  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn                                          
     15.4      390,634,159        600  651,056.9  651,300.0   640,420   665,413      3,795.3  void <unnamed>::softmax_warp_forward<c10::BFloat16, c10::BFloat16, float, (int)9, (bool)0, (bool)0>…
     14.5      368,083,866        600  613,473.1  613,380.0   605,892   622,436      2,854.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10…
     12.3      310,662,727      3,650   85,113.1   50,480.5    21,696   310,210     96,958.9  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
     10.9      276,496,720        600  460,827.9  460,771.0   454,691   468,483      2,501.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Para…
      7.8      197,677,034      4,200   47,066.0   38,640.5     5,888   132,097     41,502.9  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      7.1      178,729,337        600  297,882.2  297,730.0   292,674   304,611      1,973.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIte…
      4.0      102,051,457        600  170,085.8  170,017.5   161,249   178,049      3,246.9  ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_nn                                         
      3.2       79,847,263      1,250   63,877.8   54,688.0    33,888    82,785     13,525.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      2.3       58,295,740      1,800   32,386.5   30,176.0    26,880    43,840      4,593.4  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_nn                                                       
      1.7       41,906,109      1,250   33,524.9   29,568.0    28,064    40,128      4,706.4  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float>(int, T2, const T1 *,…
      0.9       23,416,395        600   39,027.3   39,104.0    37,472    40,160        555.7  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_nn                                                      
      0.2        4,364,403        150   29,096.0   27,744.0     4,257    58,593     20,277.6  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0          635,303         50   12,706.1   12,736.0    12,159    13,153        203.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.0          190,946         50    3,818.9    3,808.0     3,681     4,000         61.2  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_tn_align1>(T1::Params)          
      0.0          176,607         50    3,532.1    3,552.0     3,391     3,648         59.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0          147,585         50    2,951.7    2,944.0     2,752     3,072         55.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0          114,818         50    2,296.4    2,304.0     2,048     2,432         54.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
