timestamp,model_id,task,dataset_split,dataset_size,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,scope,backend,attn_mode,seed,calib_dataset,calib_split,calib_samples,calib_batches,calib_seed,calib_seq_len,calib_source,eval_target,metric_name,metric_value,latency_ms,throughput_sps,peak_mem_infer_mb,peak_mem_e2e_mb,peak_mem_mb,param_ratio,original_params,compressed_params,total_param_ratio,total_original_params,total_compressed_params,notes,git_commit
2026-03-18T10:24:14,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,boolq:validation,accuracy,0.699694,55.01,581.7,776.5,776.5,776.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,c67a163
2026-03-18T10:24:34,howey/bert-base-uncased-rte,rte_sg,validation,277,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,rte_sg:validation,accuracy,0.653430,54.96,582.3,776.5,776.5,776.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,c67a163
2026-03-18T10:24:53,rycecorn/Bert-fine-tuned-WiC,wic,validation,638,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,wic:validation,accuracy,0.684953,54.98,582.0,776.5,776.5,776.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,c67a163
2026-03-18T10:25:13,textattack/bert-base-uncased-MNLI,copa,validation,200,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,copa:validation,accuracy,0.680000,111.30,575.0,1328.9,1328.9,1328.9,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163
2026-03-18T10:25:28,textattack/bert-base-uncased-MNLI,cb,validation,56,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,cb:validation,accuracy,0.767857,55.05,581.3,776.5,776.5,776.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163
2026-03-18T10:26:49,textattack/bert-base-uncased-MNLI,hans,validation,30000,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,hans:validation,accuracy,0.558700,55.49,576.7,776.5,776.5,776.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163
2026-03-18T10:27:08,textattack/bert-base-uncased-MNLI,anli_r1,test_r1,1000,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,anli_r1:test_r1,accuracy,0.227000,55.45,577.1,776.5,776.5,776.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163
2026-03-18T10:27:25,textattack/bert-base-uncased-MNLI,anli_r2,test_r2,1000,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,anli_r2:test_r2,accuracy,0.279000,55.38,577.8,776.5,776.5,776.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163
2026-03-18T10:27:43,textattack/bert-base-uncased-MNLI,anli_r3,test_r3,1200,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,anli_r3:test_r3,accuracy,0.290833,55.35,578.2,776.5,776.5,776.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,c67a163

2026-03-18T11:00:51,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,svd,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,boolq:validation,accuracy,0.626606,77.90,410.8,1158.4,1158.4,1158.4,0.5275,84934656,44798976,0.6334,109483778,69348098,,377cff6
2026-03-18T11:01:11,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,svd,per_head,,,qkv+ffn,naive,sdpa,0,,,,,,,,boolq:validation,accuracy,0.626300,26.68,1199.5,774.4,774.4,774.4,0.5275,84934656,44798976,0.6334,109483778,69348098,sdpa_path=flash,377cff6
2026-03-18T11:01:38,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,svd,per_head,,,qkv+ffn,flashsvd,einsum,0,,,,,,,,boolq:validation,accuracy,0.626606,50.25,636.9,510.5,510.5,510.5,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
2026-03-18T11:02:01,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,svd,per_head,,,qkv+ffn,flashsvd15,einsum,0,,,,,,,,boolq:validation,accuracy,0.625994,22.21,1440.8,514.3,514.3,514.3,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
2026-03-18T11:02:28,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,fwsvd,per_head,,,qkv+ffn,naive,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.641590,104.50,306.2,1158.4,1158.4,1158.4,0.5275,84934656,44798976,0.6334,109483778,69348098,,377cff6
2026-03-18T11:02:47,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,fwsvd,per_head,,,qkv+ffn,naive,sdpa,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.641590,42.38,755.0,774.4,774.4,774.4,0.5275,84934656,44798976,0.6334,109483778,69348098,sdpa_path=flash,377cff6
2026-03-18T11:03:14,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,fwsvd,per_head,,,qkv+ffn,flashsvd,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.641590,45.47,703.8,510.5,510.5,510.5,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
2026-03-18T11:03:35,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,fwsvd,per_head,,,qkv+ffn,flashsvd15,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.641590,22.19,1442.0,514.3,514.3,514.3,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
2026-03-18T11:04:03,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,drone,per_head,,,qkv+ffn,naive,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.662997,85.70,373.4,1158.4,1158.4,1158.4,0.5275,84934656,44798976,0.6334,109483778,69348098,,377cff6
2026-03-18T11:04:24,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,drone,per_head,,,qkv+ffn,naive,sdpa,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.663609,42.09,760.2,774.4,774.4,774.4,0.5275,84934656,44798976,0.6334,109483778,69348098,sdpa_path=flash,377cff6
2026-03-18T11:04:46,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,drone,per_head,,,qkv+ffn,flashsvd,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.662385,72.09,443.9,510.5,510.5,510.5,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
2026-03-18T11:05:03,howey/bert-base-uncased-boolq,boolq,validation,3270,512,32,bf16,drone,per_head,,,qkv+ffn,flashsvd15,einsum,0,boolq,train,512,16,0,512,boolq:train,boolq:validation,accuracy,0.662691,36.29,881.8,514.3,514.3,514.3,0.5278,84934656,44826624,0.6337,109483778,69375746,,377cff6
