timestamp,model_id,task,dataset_split,dataset_size,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,scope,backend,attn_mode,seed,calib_dataset,calib_split,calib_samples,calib_batches,calib_seed,calib_seq_len,calib_source,eval_target,metric_name,metric_value,latency_ms,throughput_sps,peak_mem_infer_mb,peak_mem_e2e_mb,peak_mem_mb,param_ratio,original_params,compressed_params,total_param_ratio,total_original_params,total_compressed_params,notes,git_commit
2026-03-04T20:10:36,textattack/bert-base-uncased-CoLA,cola,validation,1043,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,cola:validation,matthews_correlation,0.533877,24.50,1289.8,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:10:44,textattack/bert-base-uncased-CoLA,cola,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,matthews_correlation,0.533877,24.56,1302.9,512.4,512.4,512.4,,,,,,,,
2026-03-04T20:11:00,textattack/bert-base-uncased-SST-2,sst2,validation,872,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,sst2:validation,accuracy,0.924312,24.45,1273.5,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:11:07,textattack/bert-base-uncased-SST-2,sst2,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,accuracy,0.924312,24.28,1317.9,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:11:22,textattack/bert-base-uncased-MRPC,mrpc,validation,408,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,mrpc:validation,f1,0.913495,25.06,1252.4,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:11:28,textattack/bert-base-uncased-MRPC,mrpc,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,f1,0.913495,24.66,1297.9,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:13:01,textattack/bert-base-uncased-QQP,qqp,validation,40430,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,qqp:validation,f1,0.878172,26.22,1219.9,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:13:42,textattack/bert-base-uncased-QQP,qqp,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,f1,0.878172,26.74,1196.8,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:14:17,textattack/bert-base-uncased-MNLI,mnli,validation_matched,9815,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,mnli:validation_matched,accuracy,0.845848,26.58,1202.7,504.5,504.5,504.5,1.0000,109484547,109484547,1.0000,109484547,109484547,,053f0d1
2026-03-04T20:14:32,textattack/bert-base-uncased-MNLI,mnli,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,accuracy,0.845848,26.56,1205.0,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:14:57,textattack/bert-base-uncased-QNLI,qnli,validation,5463,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,qnli:validation,accuracy,0.915980,26.75,1194.3,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:15:10,textattack/bert-base-uncased-QNLI,qnli,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,accuracy,0.915980,26.72,1197.6,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:15:25,textattack/bert-base-uncased-RTE,rte,validation,277,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,rte:validation,accuracy,0.722022,25.52,1206.2,504.5,504.5,504.5,1.0000,109483778,109483778,1.0000,109483778,109483778,,053f0d1
2026-03-04T20:15:32,textattack/bert-base-uncased-RTE,rte,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,accuracy,0.722022,25.45,1257.5,512.1,512.1,512.1,,,,,,,,
2026-03-04T20:15:48,textattack/bert-base-uncased-STS-B,stsb,validation,1500,512,32,bf16,dense,per_head,,,qkv+ffn,naive,einsum,0,,,,,,,,stsb:validation,pearson,0.880341,26.00,1227.5,504.5,504.5,504.5,1.0000,109483009,109483009,1.0000,109483009,109483009,,053f0d1
2026-03-04T20:15:56,textattack/bert-base-uncased-STS-B,stsb,validation,,,,bf16,dense,,,,,naive,einsum,,,,,,,,,,pearson,0.880341,26.26,1218.4,512.1,512.1,512.1,,,,,,,,
