timestamp,model_id,rank_config,git_commit,task,method,backend,sdpa_path,dtype,seq_len,batch_size,input_mode,synthetic_seed,synthetic_vocab_size,useful_flops_abs,rank_pad_flops_abs,total_flops_abs,useful_tflop_rate,rank_pad_tflop_rate,achieved_tflop_rate,rank_pad_pct,seq_pad_pct,avg_eff_tokens,arith_intensity,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,n_repeats,peak_mem_mb,mfu
2026-03-04T16:11:07,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,naive,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,97.66,12.0,0.0,24.17,0.07,1324.1,3.8,3,504.5,0.0000
2026-03-04T16:11:21,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,naive,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.05,0.06,1388.5,3.8,3,488.5,0.0000
2026-03-04T16:11:39,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,sdpa,flash,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,97.66,12.0,0.0,24.24,0.04,1320.3,2.2,3,504.5,0.0000
2026-03-04T16:11:54,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,sdpa,flash,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.20,0.07,1379.2,4.4,3,488.5,0.0000
2026-03-04T16:12:12,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,flashsvd,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,97.66,12.0,0.0,24.32,0.05,1315.7,2.7,3,504.5,0.0000
2026-03-04T16:12:27,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,flashsvd,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.29,0.06,1374.0,3.4,3,488.5,0.0000
2026-03-04T16:12:44,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,flashsvd15,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,97.66,12.0,0.0,24.43,0.06,1309.9,3.2,3,504.5,0.0000
2026-03-04T16:12:58,textattack/bert-base-uncased-CoLA,dense,8021340,cola,dense,flashsvd15,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.38,0.09,1369.0,5.2,3,488.5,0.0000
2026-03-04T16:13:15,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,naive,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,95.11,25.0,0.0,24.47,0.09,1307.7,4.8,3,504.5,0.0000
2026-03-04T16:13:30,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,naive,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.41,0.13,1367.0,7.4,3,488.5,0.0000
2026-03-04T16:13:47,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,sdpa,flash,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,95.11,25.0,0.0,24.51,0.10,1305.8,5.4,3,504.5,0.0000
2026-03-04T16:14:01,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,sdpa,flash,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.45,0.07,1364.3,4.3,3,488.5,0.0000
2026-03-04T16:14:18,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,flashsvd,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,95.11,25.0,0.0,24.50,0.11,1306.1,5.7,3,504.5,0.0000
2026-03-04T16:14:32,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,flashsvd,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.49,0.07,1362.3,4.2,3,488.5,0.0000
2026-03-04T16:14:49,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,flashsvd15,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,95.11,25.0,0.0,24.51,0.05,1305.7,2.5,3,504.5,0.0000
2026-03-04T16:15:03,textattack/bert-base-uncased-SST-2,dense,8021340,sst2,dense,flashsvd15,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.51,0.08,1361.1,4.5,3,488.5,0.0000
2026-03-04T16:15:20,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,naive,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,89.59,53.3,0.0,24.58,0.13,1302.1,7.1,3,504.5,0.0000
2026-03-04T16:15:34,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,naive,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.52,0.11,1360.4,6.6,3,488.5,0.0000
2026-03-04T16:15:51,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,sdpa,flash,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,89.59,53.3,0.0,24.56,0.17,1302.9,8.9,3,504.5,0.0000
2026-03-04T16:16:06,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,sdpa,flash,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.50,0.11,1361.5,6.4,3,488.5,0.0000
2026-03-04T16:16:25,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,flashsvd,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,89.59,53.3,0.0,24.57,0.11,1302.4,5.8,3,504.5,0.0000
2026-03-04T16:16:39,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,flashsvd,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.51,0.04,1361.3,2.3,3,488.5,0.0000
2026-03-04T16:16:55,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,flashsvd15,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,89.59,53.3,0.0,24.60,0.14,1300.7,7.5,3,504.5,0.0000
2026-03-04T16:17:10,textattack/bert-base-uncased-MRPC,dense,8021340,mrpc,dense,flashsvd15,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.55,0.08,1358.6,4.5,3,488.5,0.0000
2026-03-04T16:17:28,textattack/bert-base-uncased-QQP,dense,8021340,qqp,dense,naive,,bf16,512,32,real,,,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,93.91,31.2,0.0,24.63,0.07,1299.1,3.7,3,504.5,0.0000
2026-03-04T16:17:42,textattack/bert-base-uncased-QQP,dense,8021340,qqp,dense,naive,,bf16,512,32,synthetic,42,30522,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.00,0.00,512.0,0.0,23.54,0.11,1359.4,6.3,3,488.5,0.0000
