task,method,backend,dtype,seq_len,batch_size,logit_max_diff,logit_mean_abs_diff,pass_bf16
mnli,svd,flashsvd15,bf16,512,32,0.0,0.0,✓
mnli,svd,flashsvd15,bf16,512,32,0.0,0.0,✓
mnli,svd,flashsvd15,bf16,512,32,0.0,0.0,✓
mnli,svd,flashsvd15,bf16,512,32,0.0,0.0,✓
mnli,svd,flashsvd15,bf16,512,32,0.01757812,0.004131953,✓
mnli,svd,flashsvd15,bf16,512,32,0.01757812,0.004131953,✓
mnli,svd,sdpa,bf16,512,32,0.0,0.0,✓
mnli,svd,sdpa,bf16,512,32,0.0,0.0,✓
mnli,svd,sdpa,bf16,512,32,0.0,0.0,✓
mnli,svd,sdpa,bf16,512,32,0.015625,0.002743085,✓
mnli,svd,sdpa,bf16,512,32,0.015625,0.002743085,✓
