task,method,dtype,seq_len,batch_size,backend,lat_real,lat_synthetic,speedup_real,speedup_synth,speedup_delta,seq_pad_real
cola,adasvd,bf16,512,32,flashsvd,44.23,44.32,1.48,1.164,-0.316,97.66
cola,adasvd,bf16,512,32,flashsvd15,19.98,20.65,3.277,2.497,-0.78,97.66
cola,adasvd,bf16,512,32,naive,65.48,51.57,1.0,1.0,0.0,97.66
cola,adasvd,bf16,512,32,sdpa,27.22,26.21,2.406,1.968,-0.438,97.66
cola,dense,bf16,512,32,flashsvd,24.32,23.29,0.994,0.99,-0.004,97.66
cola,dense,bf16,512,32,flashsvd15,24.43,23.38,0.989,0.986,-0.003,97.66
cola,dense,bf16,512,32,naive,24.17,23.05,1.0,1.0,0.0,97.66
cola,dense,bf16,512,32,sdpa,24.24,23.2,0.997,0.994,-0.003,97.66
cola,drone,bf16,512,32,flashsvd,44.06,44.54,1.471,1.148,-0.323,97.66
cola,drone,bf16,512,32,flashsvd15,22.35,22.64,2.901,2.259,-0.642,97.66
cola,drone,bf16,512,32,naive,64.83,51.15,1.0,1.0,0.0,97.66
cola,drone,bf16,512,32,sdpa,26.34,25.34,2.461,2.019,-0.442,97.66
cola,fwsvd,bf16,512,32,flashsvd,44.11,44.51,1.467,1.149,-0.318,97.66
cola,fwsvd,bf16,512,32,flashsvd15,22.24,22.61,2.909,2.263,-0.646,97.66
cola,fwsvd,bf16,512,32,naive,64.69,51.16,1.0,1.0,0.0,97.66
cola,fwsvd,bf16,512,32,sdpa,26.29,25.26,2.461,2.025,-0.436,97.66
cola,svd,bf16,512,32,flashsvd,43.76,44.24,1.479,1.156,-0.323,97.66
cola,svd,bf16,512,32,flashsvd15,22.28,22.59,2.905,2.263,-0.642,97.66
cola,svd,bf16,512,32,naive,64.73,51.12,1.0,1.0,0.0,97.66
cola,svd,bf16,512,32,sdpa,26.16,25.19,2.474,2.029,-0.445,97.66
mnli,adasvd,bf16,512,32,flashsvd,44.49,44.49,1.477,1.163,-0.314,92.38
mnli,adasvd,bf16,512,32,flashsvd15,20.26,20.89,3.244,2.477,-0.767,92.38
mnli,adasvd,bf16,512,32,naive,65.72,51.75,1.0,1.0,0.0,92.38
mnli,adasvd,bf16,512,32,sdpa,27.42,26.42,2.397,1.959,-0.438,92.38
mnli,dense,bf16,512,32,flashsvd,24.68,23.52,0.999,1.0,0.001,92.38
mnli,dense,bf16,512,32,flashsvd15,24.63,23.5,1.001,1.001,0.0,92.38
mnli,dense,bf16,512,32,naive,24.66,23.52,1.0,1.0,0.0,92.38
mnli,dense,bf16,512,32,sdpa,24.66,23.52,1.0,1.0,0.0,92.38
mnli,drone,bf16,512,32,flashsvd,44.31,44.49,1.465,1.15,-0.315,92.38
mnli,drone,bf16,512,32,flashsvd15,22.33,22.6,2.907,2.264,-0.643,92.38
mnli,drone,bf16,512,32,naive,64.91,51.17,1.0,1.0,0.0,92.38
mnli,drone,bf16,512,32,sdpa,26.36,25.32,2.462,2.021,-0.441,92.38
mnli,fwsvd,bf16,512,32,flashsvd,44.24,44.51,1.466,1.149,-0.317,92.38
mnli,fwsvd,bf16,512,32,flashsvd15,22.28,22.62,2.912,2.262,-0.65,92.38
mnli,fwsvd,bf16,512,32,naive,64.87,51.16,1.0,1.0,0.0,92.38
mnli,fwsvd,bf16,512,32,sdpa,26.4,25.31,2.457,2.021,-0.436,92.38
