task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
cola,adasvd,flashsvd,real,bf16,512,32,3,44.23,0.05,723.5,0.8,0.11
cola,adasvd,flashsvd,synthetic,bf16,512,32,3,44.32,0.03,722.1,0.5,0.07
cola,adasvd,flashsvd15,real,bf16,512,32,3,19.98,0.09,1601.3,6.9,0.45
cola,adasvd,flashsvd15,synthetic,bf16,512,32,3,20.65,0.05,1549.3,3.8,0.24
cola,adasvd,naive,real,bf16,512,32,3,65.48,0.14,488.7,1.1,0.21
cola,adasvd,naive,synthetic,bf16,512,32,3,51.57,0.08,620.5,0.9,0.16
cola,adasvd,sdpa,real,bf16,512,32,3,27.22,0.07,1175.8,3.2,0.26
cola,adasvd,sdpa,synthetic,bf16,512,32,3,26.21,0.05,1220.8,2.2,0.19
cola,dense,flashsvd,real,bf16,512,32,3,24.32,0.05,1315.7,2.7,0.21
cola,dense,flashsvd,synthetic,bf16,512,32,3,23.29,0.06,1374.0,3.4,0.26
cola,dense,flashsvd15,real,bf16,512,32,3,24.43,0.06,1309.9,3.2,0.25
cola,dense,flashsvd15,synthetic,bf16,512,32,3,23.38,0.09,1369.0,5.2,0.38
cola,dense,naive,real,bf16,512,32,3,24.17,0.07,1324.1,3.8,0.29
cola,dense,naive,synthetic,bf16,512,32,3,23.05,0.06,1388.5,3.8,0.26
cola,dense,sdpa,real,bf16,512,32,3,24.24,0.04,1320.3,2.2,0.17
cola,dense,sdpa,synthetic,bf16,512,32,3,23.2,0.07,1379.2,4.4,0.3
cola,drone,flashsvd,real,bf16,512,32,3,44.06,0.05,726.3,0.9,0.11
cola,drone,flashsvd,synthetic,bf16,512,32,3,44.54,0.05,718.5,0.8,0.11
cola,drone,flashsvd15,real,bf16,512,32,3,22.35,0.02,1431.8,1.5,0.09
cola,drone,flashsvd15,synthetic,bf16,512,32,3,22.64,0.04,1413.7,2.6,0.18
cola,drone,naive,real,bf16,512,32,3,64.83,0.13,493.6,1.0,0.2
cola,drone,naive,synthetic,bf16,512,32,3,51.15,0.07,625.6,0.8,0.14
cola,drone,sdpa,real,bf16,512,32,3,26.34,0.11,1214.7,4.9,0.42
cola,drone,sdpa,synthetic,bf16,512,32,3,25.34,0.01,1262.7,0.7,0.04
cola,fwsvd,flashsvd,real,bf16,512,32,3,44.11,0.04,725.5,0.6,0.09
cola,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.51,0.07,719.0,1.2,0.16
cola,fwsvd,flashsvd15,real,bf16,512,32,3,22.24,0.11,1439.0,6.9,0.49
cola,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.61,0.01,1415.3,0.7,0.04
cola,fwsvd,naive,real,bf16,512,32,3,64.69,0.01,494.6,0.1,0.02
cola,fwsvd,naive,synthetic,bf16,512,32,3,51.16,0.07,625.5,0.9,0.14
cola,fwsvd,sdpa,real,bf16,512,32,3,26.29,0.09,1217.2,4.0,0.34
cola,fwsvd,sdpa,synthetic,bf16,512,32,3,25.26,0.02,1266.8,1.2,0.08
cola,svd,flashsvd,real,bf16,512,32,3,43.76,0.07,731.2,1.2,0.16
cola,svd,flashsvd,synthetic,bf16,512,32,3,44.24,0.06,723.4,1.0,0.14
cola,svd,flashsvd15,real,bf16,512,32,3,22.28,0.02,1436.2,1.3,0.09
cola,svd,flashsvd15,synthetic,bf16,512,32,3,22.59,0.03,1416.6,1.8,0.13
cola,svd,naive,real,bf16,512,32,3,64.73,0.15,494.4,1.1,0.23
cola,svd,naive,synthetic,bf16,512,32,3,51.12,0.07,626.0,0.8,0.14
cola,svd,sdpa,real,bf16,512,32,3,26.16,0.11,1223.2,5.1,0.42
cola,svd,sdpa,synthetic,bf16,512,32,3,25.19,0.05,1270.2,2.3,0.2
mnli,adasvd,flashsvd,real,bf16,512,32,3,44.49,0.05,719.3,0.7,0.11
mnli,adasvd,flashsvd,synthetic,bf16,512,32,3,44.49,0.06,719.3,0.9,0.13
