method,qkv_mode,seq_len,g_avg_s1,g_avg_s2,n_tasks_s1,n_tasks_s2,cola_s1,cola_s2,sst2_s1,sst2_s2,mrpc_s1,mrpc_s2,qqp_s1,qqp_s2,mnli_s1,mnli_s2,qnli_s1,qnli_s2,rte_s1,rte_s2,stsb_s1,stsb_s2
adasvd,full,128,0.501106,0.816677,8,8,0.0,0.305861,0.668578,0.908257,0.557235,0.839344,0.491848,0.873067,0.35354,0.82323,0.514003,0.887974,0.527076,0.620939,-0.206867,0.855356
adasvd,full,512,0.493371,,8,0,-0.00392,,0.620413,,0.128617,,0.557803,,0.330413,,0.461102,,0.599278,,0.502602,
adasvd,per_head,128,0.474712,,8,0,-0.024946,,0.615826,,0.0,,0.518394,,0.349669,,0.462932,,0.541516,,0.643655,
adasvd,per_head,256,0.473684,,8,0,-0.015191,,0.614679,,0.0,,0.515019,,0.350484,,0.45799,,0.545126,,0.62754,
adasvd,per_head,512,0.474403,,8,0,0.002035,,0.613532,,0.0,,0.515351,,0.352522,,0.45799,,0.541516,,0.626598,
dense,per_head,128,0.863746,0.866765,8,8,0.533877,0.559874,0.924312,0.927752,0.913495,0.891566,0.878181,0.880056,0.845746,0.838716,0.915431,0.91598,0.725632,0.714801,0.880462,0.891036
dense,per_head,512,0.863759,,8,0,0.533877,,0.924312,,0.913495,,0.878181,,0.845848,,0.915431,,0.725632,,0.880462,
drone,full,128,0.710844,0.843174,8,8,0.075549,0.490176,0.869266,0.911697,0.813411,0.890034,0.755542,0.874316,0.683851,0.823943,0.684789,0.90097,0.552347,0.66787,0.579537,0.862954
drone,full,512,0.685655,,8,0,0.078221,,0.847477,,0.834337,,0.714229,,0.595517,,0.565806,,0.577617,,0.622291,
drone,per_head,128,0.702355,0.855059,8,8,0.075605,0.479576,0.873853,0.905963,0.847826,0.918544,0.75751,0.876941,0.654407,0.830769,0.599121,0.902984,0.602888,0.725632,0.490863,0.8797
drone,per_head,256,0.698377,,8,0,0.06019,,0.860092,,0.84953,,0.761134,,0.620173,,0.607542,,0.606498,,0.503907,
drone,per_head,512,0.686962,,8,0,0.015667,,0.855505,,0.847244,,0.762204,,0.578706,,0.60205,,0.595668,,0.492975,
fwsvd,full,128,0.647048,0.848262,8,8,0.187912,0.530777,0.824541,0.91055,0.80303,0.893836,0.585748,0.876896,0.49241,0.829037,0.517298,0.898041,0.541516,0.67509,0.635775,0.874517
fwsvd,full,512,0.647084,,8,0,0.187912,,0.824541,,0.80303,,0.585748,,0.492511,,0.517481,,0.541516,,0.635775,
fwsvd,per_head,128,0.619936,0.844145,8,8,0.166271,0.490752,0.780963,0.91055,0.371134,0.897033,0.679235,0.878268,0.525115,0.827509,0.565074,0.897126,0.606498,0.66065,0.69666,0.873291
fwsvd,per_head,256,0.605523,,8,0,0.146959,,0.767202,,0.325069,,0.671204,,0.533673,,0.568552,,0.555957,,0.698088,
fwsvd,per_head,512,0.616108,0.837458,8,8,0.144358,0.471691,0.777523,0.904817,0.371968,0.885522,0.680066,0.8739,0.522262,0.827305,0.573311,0.891085,0.584838,0.646209,0.693432,0.869957
svd,full,128,0.525855,0.838657,8,8,-0.018079,0.447634,0.783257,0.920872,0.365079,0.891192,0.590471,0.876789,0.365767,0.827611,0.386235,0.891818,0.552347,0.642599,0.345449,0.869122
svd,full,512,0.525066,0.836618,8,8,-0.018079,0.46744,0.783257,0.91055,0.365079,0.883562,0.590483,0.87664,0.365563,0.826184,0.387333,0.895845,0.545126,0.631769,0.345449,0.869353
svd,per_head,128,0.433974,0.837553,8,8,0.026364,0.489632,0.71789,0.918578,0.0,0.876897,0.17167,0.878012,0.373612,0.824962,0.546403,0.900421,0.472924,0.620939,0.352218,0.871606
svd,per_head,256,0.433961,,8,0,0.026364,,0.71789,,0.0,,0.17167,,0.37351,,0.546403,,0.472924,,0.352218,
svd,per_head,512,0.433961,0.821217,8,8,0.026364,0.374585,0.71789,0.91055,0.0,0.843333,0.17167,0.872762,0.37351,0.820071,0.546403,0.889072,0.472924,0.613718,0.352218,0.865878
